Part_Number,Supplier,Description,Supplier_Location_Code,Added,Last_Modification,,,,,
C210427B-FKDA01,MURATA MANUFACTURING CO LTD,CAP-CERM 100NF,10%,16V,,80004846,default,,,
C222407B-FKDA01,MURATA MANUFACTURING CO LTD,CAP-CERM 220NF,10%,6.3V,80004846,default,,,,
C222407B-FKDAAC,MURATA MANUFACTURING CO LTD,CAP-CERM 220NF,10%,6.3V,,80027755,default,,,
C222407B-FKEA01,MURATA MANUFACTURING CO LTD,CAP-CERM 220NF,10%,6.3V,80034477,default,,,,
C222407B-FKEA01,TAIYO YUDEN,CAP-CERM 220NF,10%,6.3V,80034477,default,,,,
C222608B-FKEAAA,MURATA MANUFACTURING CO LTD,CAP-CERM 22UF,20%,6.3V,,80004846,default,,,
C247427B-FKDAAD,MURATA MANUFACTURING CO LTD,CAP MLCC X6S (EIA),80004846,default,,,,,,
C700049C-FM0000,SONY CORPORATION,SAW SINGLE FILTER FOR,80034140,default,,,,,,
C700054D-FM0000,RICHARDSON ELECTRONICS,IC-LINMISC ANT POWER SWI,80033696,default,,,,,,
C700122D-FR0000,GEMALTO, INC,IC-LINMISC ,,80027067,default,,,,
C701184D-FFP000,ARCADIA COMPONENTS, LLC,IC REG DUAL SYNC STEP DO,80033465,default,,,,,
C701212D-FFB000,TEXAS INSTRUMENTS INC.,IC-REG ,TO-252,80000334,default,,,,,
C701268D-FFC000,ANALOG DEVICES,IC-REG VR_SW,SSOP,80033465,default,,,,,
C701507B-FF0000,QUALCOMM TECHNOLOGIES INC,IC-REG ,WLNSP,80027725,default,,,,,
C710195D-FDC000,ATMEL CORPORATION,IC O_DIS,TQFP,100,80004856,default,,,,
C710195D-FDC000,MICROCHIP TECHNOLOGY INCORPORATED,IC O_DIS,TQFP,100,80004856,default,,,,
C710447D-FT0000,QUALCOMM TECHNOLOGIES INC,IC-INTRF ,WLPSP,80027725,default,,,,,
C710448D-FT0000,QUALCOMM TECHNOLOGIES INC,IC-INTRF ,FBGA,80027725,default,,,,,
C730001D-FC0000,QUALCOMM TECHNOLOGIES INC,IC-LINMISC LOW NOISE AMP,80027725,default,,,,,,
C730002D-FC0000,QUALCOMM TECHNOLOGIES INC,IC-LINMISC LOW NOISE AMP,80027725,default,,,,,,
C760013D-FP0000,QUALCOMM TECHNOLOGIES INC,IC-PROC TELEMATICS,PSP,80027725,default,,,,,
CCA00697-AA,TE CONNECTIVITY LTD,CON 60 M BB SMD STR 2R T,80004938,default,,,,,,
CCF00035-AA,FUTURE ELECTRONICS,CONN HEADERS - IC/LCD/DE,80019743,default,,,,,,
CFCB0015-AA,RF360,BAW RF SINGLE FILTER FOR,80030809,default,,,,,,
CFCB0016-AA,DIGI-KEY,BAND 7 DUPLEXER,80034477,default,,,,,,
CFCB0016-AA,MOUSER ELECTRONICS,BAND 7 DUPLEXER,80034477,default,,,,,,
CFCB0016-AA,TAIYO YUDEN,BAND 7 DUPLEXER,80034477,default,,,,,,
CFCB0017-AA,TAIYO YUDEN,SAW SINGLE FILTER FOR,80034477,default,,,,,,
CFCB0018-AA,CONVERGE,SAW SINGLE FILTER FOR,80034477,default,,,,,,
CFCB0018-AA,TAIYO YUDEN,SAW SINGLE FILTER FOR,80034477,default,,,,,,
CFCB0019-AA,TAIYO YUDEN,SAW SINGLE FILTER FOR,80034477,default,,,,,,
CFCB0020-AA,TAIYO YUDEN,BAND 41 TX/TX FILTER FOR,80034477,default,,,,,,
CFCB0021-AA,TAIYO YUDEN,FILTER BANDPASS FBAR 2.4,80034477,default,,,,,,
CFCB0023-AA,TAIYO YUDEN,BAND 40 RX FILTER 1109,80034477,default,,,,,,
CFCB0024-AA,MOUSER ELECTRONICS,SAW SINGLE FILTER FOR,80034477,default,,,,,,
CFCB0024-AA,TAIYO YUDEN,SAW SINGLE FILTER FOR,80034477,default,,,,,,
CFCB0031-AA,TDK CORPORATION,OTSF BAND-PASS,LTCC+SAW,,80004888,default,,,,
CFCB0034-AA,TAIYO YUDEN,OTSF BAND-PASS,,2.47GHZ,,80034477,default,,,
CFCB0037-AA,TAIYO YUDEN,OTSF BAND-PASS,SAW,1.95G,80034477,default,,,,
CFDB0001-AA,TAIYO YUDEN,BAND28 BLOCK A DUPLEXER,80034477,default,,,,,,
CFDB0002-AA,TAIYO YUDEN,BAND28 BLOCK B DUPLEXER,80034477,default,,,,,,
D1BTP000-000001,KOA CORPORATION,RES-TF 100OHM,5%,125MW,,80004924,default,,,
D1BTP000-000002,KOA CORPORATION,RES-TF 470OHM,5%,100MW,,80004924,default,,,
D1BTP000-000003,KOA CORPORATION,RES-TF 2KOHM,5%,100MW,2,80004924,default,,,
D1BTP000-000005,KOA CORPORATION,RES-TF 220OHM,5%,100MW,,80004924,default,,,
D1BTP000-000006,KOA CORPORATION,RES-TF 3.3KOHM,5%,100MW,80004924,default,,,,
D1BTP000-000007,KOA CORPORATION,RES-TF 220OHM,5%,125MW,,80004924,default,,,
D1BTP000-000008,KOA CORPORATION,RES-TF 430OHM,5%,125MW,,80004924,default,,,
D1BTP000-000009,KOA CORPORATION,RES-TF 33KOHM,5%,100MW,,80004924,default,,,
D1BTP000-000011,KOA CORPORATION,RES-TF 10OHM,5%,100MW,2,80004924,default,,,
D1BTP000-000012,ALLIANCE ELECTRONICS DISTRIBUTOR, INC.,RES-TF 0OHM,2A,,805,80004918,default,,
D1BTP000-000012,ROHM CO LTD,RES-TF 0OHM,2A,,805,80004918,default,,,
D1BTP000-000013,KOA CORPORATION,RES-TF 6.2KOHM,5%,100MW,80004924,default,,,,
D1BTP000-000014,KOA CORPORATION,RES-TF 1.3KOHM,1%,100MW,80004924,default,,,,
D1BTP000-000015,KOA CORPORATION,RES-TF 4.99KOHM,1%,100M,80004924,default,,,,
D1BTP000-000016,KOA CORPORATION,RES-TF 20KOHM,1%,100MW,,80004924,default,,,
D1BTP000-000017,KOA CORPORATION,RES-TF 39KOHM,1%,100MW,,80004924,default,,,
D1BTP000-000019,KOA CORPORATION,RES-TF 6.2KOHM,1%,100MW,80004924,default,,,,
D1BTP000-000020,KOA CORPORATION,RES-TF 30KOHM,1%,125MW,,80004924,default,,,
D1BTP000-000022,KOA CORPORATION,RES-TF 4.02KOHM,1%,100M,80004924,default,,,,
D1BTP000-000023,KOA CORPORATION,RES-TF 1KOHM,1%,750MW,1,80004924,default,,,
D1BTP000-000024,KOA CORPORATION,RES-TF 100MOHM,1%,250MW,80004924,default,,,,
D1BTP000-000026,KOA CORPORATION,RES-TF 6.81KOHM,1%,750M,80004924,default,,,,
D1BTP000-000027,KOA CORPORATION,RES-MF 7.96KOHM,0.10%,10,80004924,default,,,,
D1BTP000-000028,ROHM CO LTD,RES-TF 390MOHM,1%,1W,20,80004918,default,,,
D1BTP000-000029,KOA CORPORATION,RES-TF 1.3KOHM,1%,750MW,80004924,default,,,,
D1BTP000-000030,KOA CORPORATION,RES-TF 750OHM,1%,750MW,,80004924,default,,,
D1BTP000-000031,KOA CORPORATION,RES-TF 10K,5%,100.0MW,2,80004924,default,,,
D1BTP000-000032,KOA CORPORATION,RES-TF 22KOHM,5%,100MW,,80004924,default,,,
D1BTP000-000033,KOA CORPORATION,RES-TF 10KOHM,1%,100MW,,80004924,default,,,
D1BTP000-000034,KOA CORPORATION,RES-TF 100KOHM,5%,100MW,80004924,default,,,,
D1BTP000-000035,KOA CORPORATION,RES-TF 4.7KOHM,5%,100MW,80004924,default,,,,
D1BTP000-000036,KOA CORPORATION,RES-TF 1KOHM,5%,100MW,2,80004924,default,,,
D1BTP000-000037,KOA CORPORATION,RES-TF 47KOHM,5%,100MW,,80004924,default,,,
D1BTP000-000038,KOA CORPORATION,RES-TF 100OHM,5%,63MW,2,80004924,default,,,
D1BTP000-000039,KOA CORPORATION,RES-TF 0OHM,1A,,603,80004924,default,,,
D1BTP000-000040,KOA CORPORATION,RES-TF 10KOHM,5%,125MW,,80004924,default,,,
D1BTP000-000042,KOA CORPORATION,RES-TF 47KOHM,1%,100MW,,80004924,default,,,
D1BTP000-000043,KOA CORPORATION,RES-TF 100OHM,5%,100MW,,80004924,default,,,
D1BTP000-000044,KOA CORPORATION,RES-TF 2.2K,5%,100.0MW,,80004924,default,,,
D1BTP000-000045,KOA CORPORATION,RES-TF 4.7OHM,1%,250MW,,80004924,default,,,
D1BTP000-000046,KOA CORPORATION,RES-TF 511OHM,1%,100MW,,80004924,default,,,
D1BTP000-000047,KOA CORPORATION,RES-TF 0R,,,,,1206,80004924,default,
D1BTP000-000049,KOA CORPORATION,RES-TF 61.9OHM,1%,250MW,80004924,default,,,,
D1BTP000-000050,KOA CORPORATION,RES-MF 22.1KOHM,0.10%,12,80004924,default,,,,
D1BTP000-000051,KOA CORPORATION,RES-MF 24.9KOHM,0.10%,10,80004924,default,,,,
D1BTP000-000052,KOA CORPORATION,RES-TF 27.4KOHM,1%,100M,80004924,default,,,,
D1BTP000-000053,KOA CORPORATION,RES-TF 39KOHM,5%,100MW,,80004924,default,,,
D1BTP000-000054,KOA CORPORATION,RES-TF 39OHM,5%,100MW,2,80004924,default,,,
D1BTP000-000057,ROHM CO LTD,RES-TF 1KOHM,5%,250MW,2,80004918,default,,,
D1BTP000-000058,DIGI-KEY,RES-TF 2.2KOHM,5%,250MW,80004877,default,,,,
D1BTP000-000059,DIGI-KEY,RES-TF 220R,5%,250.0MW,,80023560,default,,,
D1BTP000-000060,KOA CORPORATION,RES-TF 220R,5%,100.0MW,,80004924,default,,,
D1BTP000-000062,KOA CORPORATION,RES-TF 68K,1%,100.0MW,,,80004924,default,,
D1BTP000-000063,KOA CORPORATION,RES-TF 91R,1%,125.0MW,,,80004924,default,,
D1BTP000-000064,KOA CORPORATION,RES-TF 82R,1%,125.0MW,,,80004924,default,,
D1BTP000-000074,ROHM CO LTD,RES-TF 1K,1%,500.0MW,10,80004918,default,,,
D1BTP000-000075,KOA CORPORATION,RES-TF ,,,,,,80004924,default,
D2BTP000-000001,MURATA MANUFACTURING CO LTD,CAP-CERM 220NF,10%,50V,,80004846,default,,,
D2BTP000-000002,MURATA MANUFACTURING CO LTD,CAP-CERM 2.2UF,10%,16V,,80004846,default,,,
D2BTP000-000003,MURATA MANUFACTURING CO LTD,CAP-CERM 100NF,10%,16V,,80004846,default,,,
D2BTP000-000004,MURATA MANUFACTURING CO LTD,CAP-CERM 2.7NF,10%,50V,,80004846,default,,,
D2BTP000-000005,DIGI-KEY,CAP-CERM 22UF,20%,16V,X,80004846,default,,,
D2BTP000-000005,MURATA MANUFACTURING CO LTD,CAP-CERM 22UF,20%,16V,X,80004846,default,,,
D2BTP000-000007,MURATA MANUFACTURING CO LTD,CAP-CERM 270PF,5%,50V,C,80004846,default,,,
D2BTP000-000009,MURATA MANUFACTURING CO LTD,CAP-CERM 1UF,10%,16V,X7,80004846,default,,,
D2BTP000-000010,MURATA MANUFACTURING CO LTD,CAP-CERM 100NF,10%,50V,,80004846,default,,,
D2BTP000-000011,DIGI-KEY,CAP-CERM 100NF,10%,50V,,80004891,default,,,
D2BTP000-000014,MURATA MANUFACTURING CO LTD,CAP-CERM 4.7UF,10%,50V,,80004846,default,,,
D2BTP000-000018,MURATA MANUFACTURING CO LTD,CAP-CERM 4.7UF,10%,25V,,80004846,default,,,
