Part_Number,Supplier,Description,Supplier_Location_Code,Added,Last_Modification,,,,,
P151143B-FDNCAD,YAGEO,RES CER 51.1K 1% 0603,80030348,default,,,,,,
P151143B-FENAAC,KAMAYA INC.,RES,TF,51.1KOHMS,1%,125M,80004869,default,,
P152303B-FFLAAE,KAMAYA INC.,RES-TF 5.23OHM,1%,250MW,,80004869,default,,,
P152303B-FJMCAE,KAMAYA INC.,RES-TF 5.23R,1%,333.0MW,,80004869,default,,,
P152313B-FFNAAE,KAMAYA INC.,RES-TF 52.3OHM,1%,250MW,,80004869,default,,,
P152323B-FDNCAD,KAMAYA INC.,RES,TF,523OHMS,1%,100MW,,80004869,default,
P152323B-FFNAAE,ARCADIA COMPONENTS, LLC,B299 MCA 523OHM,1%,250MW,80004869,default,,,
P152323B-FFNAAE,KAMAYA INC.,B299 MCA 523OHM,1%,250MW,80004869,default,,,,
P152337B-FDTCAD,KAMAYA INC.,RES-TF 5.23KOHM,0.50%,100,80004869,default,,,,
P153643B-FDNCAD,KOA CORPORATION,RES-TF 53.6KOHM,1%,100MW,80004924,default,,,,
P154923B-FFNAAE,KAMAYA INC.,RES-TF 549OHM,1%,250MW,,80004869,default,,,
P154933B-FEN000,CHIP ONE EXCHANGE,5.49K OHMS 100MW 0402 +,80004924,default,,,,,,
P154933B-FEN000,KOA CORPORATION,5.49K OHMS 100MW 0402 +,80004924,default,,,,,,
P156005B-FFMAAE,KOA CORPORATION,RES-TF 5.6OHM,5%,250MW,2,80004924,default,,,
P156013B-FDNCAD,KAMAYA INC.,RES-TF 56OHM,1%,100MW,10,80004869,default,,,
P156013B-FFNAAE,CHIP ONE EXCHANGE,JC49 RS56OHM,1%,250MW,10,80004869,default,,,
P156013B-FFNAAE,KAMAYA INC.,JC49 RS56OHM,1%,250MW,10,80004869,default,,,
P156013B-FFNAAE,KOA CORPORATION,JC49 RS56OHM,1%,250MW,10,80004869,default,,,
P156013B-FFNAAE,VAL TECHNOLOGIES, INC,JC49 RS56OHM,1%,250MW,10,80004869,default,,
P156015B-FDMCAC,KOA CORPORATION,P552 RE56OHM,5%,63MW,200,80004924,default,,,
P156015B-FDMCAD,KOA CORPORATION,RES,TF,56OHMS,5%,100MW,0,80004924,default,
P156015B-FEMAAC,KAMAYA INC.,RES,TF,56OHMS,5%,125MW,0,80004869,default,
P156015B-FJMCAE,KAMAYA INC.,RES CER 56 5% 1210,80004869,default,,,,,,
P156015B-FNMDAB,KOA CORPORATION,P552 RES56OHM,5%,250MW,2,80004924,default,,,
P156015B-FNMDAB,VIKING TECH CORPORATION,P552 RES56OHM,5%,250MW,2,80004924,default,,,
P156023B-FEMCAD,KAMAYA INC.,RES.CER 0603 T5,80004869,default,,,,,,
P156023B-FEMCAD,MOUSER ELECTRONICS,RES.CER 0603 T5,80004869,default,,,,,,
P156023B-FEMCAD,TTI,RES.CER 0603 T5,80004869,default,,,,,,
P156025B-FEMAAC,KAMAYA INC.,RES,TF,560OHMS,5%,125MW,,80004869,default,
P156025B-FJMCAE,ARROW ELECTRONICS INC,RES CER 560 5% 1210,80000435,default,,,,,,
P156033B-FDNCAC,KAMAYA INC.,RES-TF 5.6K,1%,63.0MW,1,80004869,default,,,
P156035B-FDMCAC,KAMAYA INC.,RES-TF 5.6KOHM,5%,63MW,,80004869,default,,,
P156043B-FDNCAD,KAMAYA INC.,RES-TF,56KOHM,1%,100MW,1,80004869,default,,
P156043B-FDNCAD,KOA CORPORATION,RES.CER 0603 T5 56K0 1%,80004869,default,,,,,,
P156223B-FFNAAE,KAMAYA INC.,RES-TF 562OHM,1%,250MW,1,80004869,default,,,
P156233B-FDNCAC,KAMAYA INC.,RES-TF 5.62KOHM,1%,63MW,,80004869,default,,,
P156233B-FDNCAD,KAMAYA INC.,RES-TF 5.62KOHM,1%,100M,80004869,default,,,,
P156237B-FDNCAD,YAGEO,RES-TF 5.62K,0.50%,100.0M,80030348,default,,,,
P156243B-FDNCAC,KAMAYA INC.,RES-TF 56.2KOHM,1%,63MW,80004869,default,,,,
P156243B-FDNCAD,KOA CORPORATION,RES,TF,56.2KOHMS,1%,100M,80004924,default,,
P156243B-FEN001,KOA CORPORATION,RES-TF 56.2K,1%,100.0MW,,80004924,default,,,
P157633B-FDNCAC,KAMAYA INC.,RES-TF 5.76KOHM,1%,63MW,80004869,default,,,,
P157643B-FDMCAD,KAMAYA INC.,RES-TF 57.6KOHM,1%,100M,80004869,default,,,,
P159023B-FENAAC,KAMAYA INC.,RES-TF 590R,1%,125.0MW,,80004869,default,,,
P159033B-FDNCAD,KOA CORPORATION,RES CER 5.9K 1% 0603,80004924,default,,,,,,
P160413B-FENCAD,KOA CORPORATION,RES-TF 60.4OHM,1%,100MW,,80004924,default,,,
P160413B-FFNAAE,KAMAYA INC.,CD4-C520RES,60.4OHMS,1%,,80004869,default,,,
P160413B-FJNAAE,KAMAYA INC.,RES-TF 60.4OHM,1%,250MW,,80004869,default,,,
P160413B-FJNAAE,KOA CORPORATION,RES-TF 60.4OHM,1%,250MW,,80004869,default,,,
P160413B-FKN000,ROHM CO LTD,RES-TF 60.4R,1%,500.0MW,,80004918,default,,,
P160413B-FKNAAE,KAMAYA INC.,RES-TF 60.4R,1%,500.0MW,,80004869,default,,,
P160423B-FGN000,ROHM CO LTD,RES-TF 604R,1%,750.0MW,1,80004918,default,,,
P160433B-FDNCAD,KAMAYA INC.,RES,TF,6.04KOHMS,1%,100M,80004869,default,,
P160443B-FDMCAD,KOA CORPORATION,RES,TF,60.4KOHMS,1%,100M,80004924,default,,
P160443B-FDNCAD,KAMAYA INC.,RES-TF 60.4KOHM,1%,100M,80004869,default,,,,
P161923B-FDNCAC,KAMAYA INC.,RES-TF 619R,1%,63.0MW,1,80004869,default,,,
P161923B-FENAAC,KOA CORPORATION,RES,TF,619OHMS,1%,125MW,,80004924,default,
P161923B-FENCAD,KOA CORPORATION,RES,TF,619OHMS,1%,100MW,,80004924,default,
P161932B-FDRCAD,KOA CORPORATION,RES-MF 6.19KOHM,0.10%,63MW,80004924,default,,,,
P161933B-FDNCAC,KAMAYA INC.,RES-TF 6.19KOHM,1%,63MW,80004869,default,,,,
P161943B-FDNCAD,KOA CORPORATION,RES,TF,61.9KOHMS,1%,100M,80004924,default,,
P162013B-FJN000,KOA CORPORATION,RES THICK FILM 62R0 1%,80004924,default,,,,,,
P162013B-FJNAAE,KAMAYA INC.,RES.CER 1206 T5 62R0,80004869,default,,,,,,
P162015B-FEMAAC,KAMAYA INC.,RES,TF,62OHMS,5%,125MW,0,80004869,default,
P162023B-FDNCAC,YAGEO,RES-TF 620R,1%,63.0MW,10,80030348,default,,,
P162025B-FDMCAD,ARROW ELECTRONICS INC,RES CER 620 5% 0603,80000435,default,,,,,,
P162033B-FDNCAD,CHILISIN ELECTRONICS CORP.,RES.CER 0603 T5 6K20,80030348,default,,,,,,
P162033B-FDNCAD,DIGI-KEY,RES.CER 0603 T5 6K20,80030348,default,,,,,,
P162033B-FDNCAD,KAMAYA INC.,RES.CER 0603 T5 6K20,80004869,default,,,,,,
P162033B-FDNCAD,YAGEO,RES.CER 0603 T5 6K20,80030348,default,,,,,,
P162033B-FDNCAD,YAGEO,RES.CER 0603 T5 6K20,80030348,default,,,,,,
P162035B-FDMCAD,KOA CORPORATION,S197 2K13 RES-TF 6.2KOHM,80004924,default,,,,,,
P162035B-FEMAAC,KAMAYA INC.,RES,TF,6.2KOHMS,5%,125MW,80004869,default,,
P162035B-FEMAAC,KOA CORPORATION,RES,TF,6.2KOHMS,5%,125MW,80004869,default,,
P162037B-FDTCAD,KAMAYA INC.,RES-TF 6.2KOHM,0.50%,100M,80004869,default,,,,
P162043B-FEN001,KOA CORPORATION,RES-TF 62K,1%,100.0MW,10,80004869,default,,,
P162043C-FDNCAD,MOUSER ELECTRONICS,RES.CER 0603 T5 62K0,80000435,default,,,,,,
P162045B-FDMCAD,DIGI-KEY,RES-TF 62KOHM,5%,100MW,,80004869,default,,,
P162045B-FDMCAD,KAMAYA INC.,RES-TF 62KOHM,5%,100MW,,80004869,default,,,
P163423B-FENAAC,KAMAYA INC.,JC49RTF634OHM,1%,125MW,1,80004869,default,,,
P163433B-FDMCAD,KAMAYA INC.,RES,TF,6.34KOHMS,1%,100M,80004869,default,,
P164913B-FDNCAD,KAMAYA INC.,RES-TF 64.9OHM,1%,100MW,80004869,default,,,,
P164933B-FDNCAC,KAMAYA INC.,RES-TF 6.49KOHM,1%,63MW,80004869,default,,,,
P164937B-FDTCAD,KAMAYA INC.,RES-TF 6.49KOHM,0.50%,100,80004869,default,,,,
P164943B-FDNCAD,KAMAYA INC.,RES CER 64.9K 1% 0603,80004869,default,,,,,,
P168003B-FDMCAC,ALLIANCE ELECTRONICS DISTRIBUTOR, INC.,RES-TF 6.8R,1%,63.0MW,2,80004924,default,,
P168003B-FDMCAC,KOA CORPORATION,RES-TF 6.8R,1%,63.0MW,2,80004924,default,,,
P168003B-FENAAC,KOA CORPORATION,RES-TF 6.8R,1%,125.0MW,,80004924,default,,,
P168005B-FFMAAE,KAMAYA INC.,P42M DI RES,5%,250MW,200,80004869,default,,,
P168013B-FJNAAC,KOA CORPORATION,RES-TF 68R,1%,250.0MW,10,80004924,default,,,
P168015B-FDMCAC,ALLIANCE ELECTRONICS DISTRIBUTOR, INC.,RES-TF 68R,5%,63.0MW,20,80004869,default,,
P168015B-FDMCAC,KAMAYA INC.,RES-TF 68R,5%,63.0MW,20,80004869,default,,,
P168015B-FDMCAD,KOA CORPORATION,RES,TF,68OHMS,5%,100MW,0,80004924,default,
P168015B-FEMAAC,KAMAYA INC.,RES,TF,68OHMS,5%,125MW,0,80004869,default,
P168015B-FFMAAE,KAMAYA INC.,RES-TF 68OHM,5%,250MW,2,80004869,default,,,
P168023B-FDNCAD,HARD TO FIND INTERNATIONAL,RES-TF 680R,1%,100.0MW,,80004924,default,,,
P168023B-FDNCAD,KOA CORPORATION,RES-TF 680R,1%,100.0MW,,80004924,default,,,
P168025B-FDMCAC,ALLIANCE ELECTRONICS DISTRIBUTOR, INC.,RES-TF 680R,5%,63.0MW,2,80004869,default,,
P168025B-FDMCAC,KAMAYA INC.,RES CER 680 5% 0402,80004869,default,,,,,,
P168025B-FDMCAD,KOA CORPORATION,RES,TF,680OHMS,5%,100MW,,80004924,default,
P168025B-FJMAAE,KAMAYA INC.,P415 RES TF 680OHM,5%,25,80004869,default,,,,
P168025B-FJMAAE,KOA CORPORATION,P415 RES TF 680OHM,5%,25,80004869,default,,,,
P168025B-FJMCAE,KAMAYA INC.,RES CER 680 5% 1210,80004869,default,,,,,,
P168033B-FEN000,CHIP ONE EXCHANGE,6.8K OHMS 100MW 0402 +/,80004924,default,,,,,,
P168033B-FEN000,KOA CORPORATION,6.8K OHMS 100MW 0402 +/,80004924,default,,,,,,
P168033B-FEN000,MOUSER ELECTRONICS,6.8K OHMS 100MW 0402 +/,80004924,default,,,,,,
P168035B-FDMCAC,KOA CORPORATION,RES-TF 6.8KOHM,5%,63MW,,80004924,default,,,
P168035B-FDMCAD,KAMAYA INC.,RES,TF,6.8KOHMS,5%,100MW,80004869,default,,
P168035B-FEMAAC,KAMAYA INC.,JC49RES6.8KOHMS,5%,125MW,80004869,default,,,,
P168035B-FFMAAE,KOA CORPORATION,RES,TF,6.8KOHMS,5%,250MW,80004924,default,,
P168045B-FDMCAC,KOA CORPORATION,RES-TF 68KOHM,5%,63MW,2,80004924,default,,,
P168045B-FDMCAD,KOA CORPORATION,RES,TF,68KOHMS,5%,100MW,,80004924,default,
P168045B-FNMDAF,KOA CORPORATION,RES,TF,68KOHMS,5%,250MW,,80004924,default,
P168053B-FEN001,KOA CORPORATION,RES-TF 680K,1%,100.0MW,1,80004924,default,,,
P168103B-FFNAAE,KAMAYA INC.,RES-TF 6.81OHM,1%,250MW,,80004869,default,,,
P168113B-FENAAC,KAMAYA INC.,RES-TF 68.1R,1%,125.0MW,80004869,default,,,,
P168123B-FDNCAD,KAMAYA INC.,RES-TF 681OHM,1%,100MW,1,80004869,default,,,
P168133B-FDNCAC,YAGEO,RES CER 6.81K 1% 0402,80030348,default,,,,,,
P168143B-FDMCAD,KOA CORPORATION,RES-TF 68.1KOHM,1%,100MW,80004924,default,,,,
P168143B-FENAAC,KAMAYA INC.,TERSLA RES1KOHMS,1%,125M,80004869,default,,,,
P168147B-FDTCAD,KAMAYA INC.,RES-TF 68.1KOHM,0.50%,100,80004869,default,,,,
P169813B-FDNCAD,KAMAYA INC.,RES-TF 69.8OHM,1%,100MW,80004869,default,,,,
P169823B-FFNAAE,KAMAYA INC.,RES-TF 698OHM,1%,250MW,1,80004869,default,,,
P169833B-FDNCAD,KOA CORPORATION,RES-TF 6.98KOHM,1%,100MW,80004924,default,,,,
P169833B-FENAAC,KAMAYA INC.,RES-TF 6.98KOHM,1%,125MW,80004869,default,,,,
P171523B-FDNCAD,ARCADIA COMPONENTS, LLC,RES-TF 715OHM,1%,100MW,,80004869,default,,
P171523B-FDNCAD,KAMAYA INC.,RES-TF 715OHM,1%,100MW,,80004869,default,,,
P171523B-FFNAAE,KAMAYA INC.,JC49 RS715OHM,1%,250MW,1,80004869,default,,,
P171533B-FDNCAD,KOA CORPORATION,RES-TF 7.15KOHM,1%,100MW,80004924,default,,,,
P171537B-FDTCAD,KAMAYA INC.,RES-TF 7.15KOHM,0.50%,100M,80004869,default,,,,
P173213B-FFNAAE,KAMAYA INC.,RES-TF 73.2OHM,1%,250MW,,80004869,default,,,
P173243B-FDNCAC,KAMAYA INC.,RES-TF 73.2KOHM,1%,63MW,80004869,default,,,,
P173243B-FDNCAD,KAMAYA INC.,RES-TF 73.2KOHM,1%,100M,80004869,default,,,,
P173243B-FENAAC,KAMAYA INC.,RES,TF,73.2KOHMS,1%,125M,80004869,default,,
P175013B-FDNCAD,KAMAYA INC.,RES-TF 75OHM,1%,100MW,1,80004869,default,,,
P175013B-FENAAC,KOA CORPORATION,TESLA 75OHM,1%,125MW,10,80004924,default,,,
P175013B-FFNAAE,KAMAYA INC.,JC49 RTF5OHM,1%,250MW,10,80004869,default,,,
P175015B-FEMAAC,KAMAYA INC.,RES-TF 75OHM,5%,125MW,20,80004869,default,,,
P175023B-FDMCAD,KAMAYA INC.,RES-TF 750OHM,1%,100MW,2,80004869,default,,,
P175023B-FEN000,KOA CORPORATION,PRECISION THICK FILM CH,80004924,default,,,,,,
P175023B-FENAAC,KAMAYA INC.,RES-TF 750R,1%,125.0MW,,80004869,default,,,
P175025B-FEMAAC,KAMAYA INC.,RES,TF,750OHMS,5%,125MW,,80004869,default,
P175025B-FJMAAE,KAMAYA INC.,C520 750OHM,5%,250MW,200,80004869,default,,,
P175025B-FJMCAE,ROHM CO LTD,RES CER 750 5% 1210,80004918,default,,,,,,
P175033B-FDMCAD,KAMAYA INC.,RES,TF,7.5KOHMS,1%,100MW,80004869,default,,
P175033B-FDNCAC,KAMAYA INC.,RES-TF 7.5KOHM,1%,63MW,,80004869,default,,,
P175033B-FFNAAE,KAMAYA INC.,RES-TF 7.5KOHM,1%,250MW,80004869,default,,,,
P175033C-FEN000,KOA CORPORATION,RES-TF 7.5K,1%,250.0MW,1,80004924,default,,,
P175035B-FFMAAE,KOA CORPORATION,RES-TF 7.5KOHM,5%,250MW,,80004924,default,,,
P175035B-FNMDAC,KOA CORPORATION,B299 MCA 7.5KOHM,5%,250M,80004924,default,,,,
P175037B-FDTCAD,CHILISIN ELECTRONICS CORP.,RES-TF 7.5K,0.50%,100.0MW,80030066,default,,,,
P175055B-FDMCAD,KOA CORPORATION,S197 RES,TF,750KOHMS,5%,,80004924,default,,
P175093B-FFNAAE,KAMAYA INC.,RES-TF 750MOHM,1%,250MW,,80004869,default,,,
P176823B-FFNAAE,KAMAYA INC.,JC49 RS768OHM,1%,250MW,1,80004869,default,,,
P176843B-FDNCAC,KAMAYA INC.,RES-TF 76.8KOHM,1%,63MW,80004869,default,,,,
P176853B-FDNCAD,ARCADIA COMPONENTS, LLC,RES-TF 768KOHM,1%,100MW,,80004869,default,,
P176853B-FDNCAD,KAMAYA INC.,RES-TF 768KOHM,1%,100MW,,80004869,default,,,
P178713B-FDNCAC,KAMAYA INC.,RES-TF 78.7OHM,1%,63MW,,80004869,default,,,
P178733B-FDNCAD,KAMAYA INC.,RES-TF 7.87KOHM,1%,100M,80004869,default,,,,
P180603B-FKYCAE,KAMAYA INC.,RES-TF 8.06R,1%,500.0MW,,80004869,default,,,
P180623B-FFNAAE,KAMAYA INC.,RES-TF 806OHM,1%,250MW,1,80004869,default,,,
P180632B-FDR000,ARROW ELECTRONICS INC,REC-MF 8.06K,0.10%,63.0MW,80000435,default,,,,
P180632B-FDR000,DIGI-KEY,REC-MF 8.06K,0.10%,63.0MW,80004869,default,,,,
P180643B-FENAAC,KAMAYA INC.,RES-TF 80.6KOHM,1%,125MW,80004869,default,,,,
P182013B-FDNCAD,YAGEO,RES-TF 82R,1%,100.0MW,1,80030348,default,,,
P182013B-FDNCAD,YAGEO,RES-TF 82R,1%,100.0MW,1,80030348,default,,,
P182013B-FENAAC,CHILISIN ELECTRONICS CORP.,RES.CER 0805 T5 82R 1% 0,80030066,default,,,,,,
P182013B-FENAAC,KOA CORPORATION,RES.CER 0805 T5 82R 1% 0,80004924,default,,,,,,
P182013B-FENAAC,YAGEO,RES.CER 0805 T5 82R 1% 0,80030348,default,,,,,,
P182013B-FENAAC,YAGEO,RES.CER 0805 T5 82R 1% 0,80030348,default,,,,,,
P182015B-FFM001,ROHM CO LTD,RES-TF 82OHM,5%,500MW,2,80030348,default,,,
P182015B-FFM001,YAGEO,RES-TF 82OHM,5%,500MW,2,80030348,default,,,
P182015B-FFMAAE,KAMAYA INC.,P552 RES,TF,82OHMS,5%,25,80004869,default,,
P182023B-FFNAAC,KAMAYA INC.,RES-TF 820OHM,1%,125MW,,80004869,default,,,
P182023B-FFNAAE,KAMAYA INC.,RES. CER 820R 1P 1206 0W,80004869,default,,,,,,
P182025B-FDMCAD,KOA CORPORATION,TK8A RES,TF,20OHMS,5%,10,80004924,default,,
P182025B-FEMAAC,KAMAYA INC.,B299 DI RES200,5%,125MW,,80004869,default,,,
P182033B-FDNCAD,KAMAYA INC.,RES-TF 8.2KOHM,1%,100MW,,80004869,default,,,
P182033C-FENAAC,ALLIANCE ELECTRONICS DISTRIBUTOR, INC.,RES-TF 8.2K,1%,125.0MW,,80004869,default,,
P182033C-FENAAC,KAMAYA INC.,RES-TF 8.2K,1%,125.0MW,,80004869,default,,,
P182035B-FDMCAC,KAMAYA INC.,RES-TF 8.2KOHM,5%,63MW,,80004869,default,,,
P182035B-FDMCAD,KOA CORPORATION,RES,TF,8.2KOHMS,5%,100MW,80004924,default,,
P182037B-FDTCAD,KAMAYA INC.,RES-TF 8.2KOHM,0.50%,100MW,80004869,default,,,,
P182045B-FDMCAC,KAMAYA INC.,RES-TF 82K,5%,63.0MW,200,80004869,default,,,
P182045B-FDMCAD,KAMAYA INC.,C520RES 82KOHM,5%,100MW,,80004869,default,,,
P182503B-FFNAAE,KAMAYA INC.,RES-TF 8.25OHM,1%,250MW,,80004869,default,,,
P182523B-FFNAAE,KAMAYA INC.,JC49 RS 825OHMS,1%,250MW,80004869,default,,,,
P182533B-FDMCAD,KOA CORPORATION,S1972K13,TESLA 8.25KOHM,80004924,default,,,,,
P182533B-FENAAC,KAMAYA INC.,RES,TF,8.25KOHMS,1%,125M,80004869,default,,
P182537B-FDTCAC,KAMAYA INC.,RES-TF 8.25KOHM,0.50%,63M,80004869,default,,,,
P182543B-FDNCAC,KAMAYA INC.,RES-TF 82.5KOHM,1%,63MW,80004869,default,,,,
P182543B-FEN001,ARROW ELECTRONICS INC,PANASONIC CHIP POWER RES,80023560,default,,,,,,
P182543B-FENAAC,KAMAYA INC.,RES-TF 82.5K,1%,125.0MW,80004869,default,,,,
P184543B-FDNCAD,YAGEO,RES-TF 84.5K,1%,100.0MW,,80030348,default,,,
P184543B-FENAAC,KAMAYA INC.,RES,TF,84.5KOHMS,1%,125M,80004869,default,,
P186613B-FENAAC,ARROW ELECTRONICS INC,RES-TF 86.6R,1%,125.0MW,80004869,default,,,,
P186613B-FENAAC,KAMAYA INC.,RES-TF 86.6R,1%,125.0MW,80004869,default,,,,
P186633B-FDMCAD,KAMAYA INC.,RES-TF 8.66KOHM,1%,100MW,80004869,default,,,,
P187632B-FDRCAC,KOA CORPORATION,RES-MF 8.76KOHM,0.10%,63M,80004924,default,,,,
P188723B-FFNAAC,ARCADIA COMPONENTS, LLC,RES-TF 887OHM,1%,125MW,,80027755,default,,
P188723B-FFNAAC,KAMAYA INC.,RES-TF 887OHM,1%,125MW,,80027755,default,,,
P188723B-FFNAAE,KAMAYA INC.,B299 MCA 887OHM,1%,250MW,80004869,default,,,,
P190913B-FENAAC,YAGEO,RES CER 90.9 1% 0805,80030348,default,,,,,,
P190913B-FENAAC,YAGEO,RES CER 90.9 1% 0805,80030348,default,,,,,,
P190933B-FDNCAD,KAMAYA INC.,RES-TF 9.09KOHM,1%,100M,80004869,default,,,,
P190943B-FDNCAC,KAMAYA INC.,RES-TF 90.9KOHM,1%,63MW,80004924,default,,,,
P190943B-FDNCAC,KOA CORPORATION,RES-TF 90.9KOHM,1%,63MW,80004924,default,,,,
P190943B-FDNCAC,MOUSER ELECTRONICS,RES-TF 90.9KOHM,1%,63MW,80004924,default,,,,
P190943B-FDNCAD,KAMAYA INC.,RES-TF 90.9KOHM,1%,100M,80004869,default,,,,
P190943B-FEN001,KOA CORPORATION,RES-TF 90.9K,1%,100.0MW,,80004924,default,,,
P191025B-FJMAAE,KAMAYA INC.,RES-TF 910OHM,5%,250MW,2,80004869,default,,,
P191025C-FJMAAE,ARCADIA COMPONENTS, LLC,RES-TF 910OHM,5%,250MW,2,80004869,default,,
P191025C-FJMAAE,KAMAYA INC.,RES-TF 910OHM,5%,250MW,2,80004869,default,,,
P191033B-FDNCAD,KAMAYA INC.,RES.CER 0603 T5 9K10,80004869,default,,,,,,
P191035B-FDMCAC,KAMAYA INC.,RES-TF 9.1KOHM,5%,63MW,,80004869,default,,,
P191043B-FEN000,KOA CORPORATION,PRECISION THICK FILM CH,80004924,default,,,,,,
P191045B-FDMCAD,KAMAYA INC.,RES-TF 91KOHM,5%,100MW,,80004869,default,,,
P191055B-FDMCAD,KAMAYA INC.,RES-TF 910KOHM,5%,100MW,80004869,default,,,,
P193113B-FFNAAE,KAMAYA INC.,RES-TF 93.1OHM,1%,250MW,,80004869,default,,,
P193133B-FDNCAD,KOA CORPORATION,RES,TF,9.31KOHMS,1%,100M,80004924,default,,
P195323B-FFNAAE,KAMAYA INC.,JC49 RS953OHM,1%,250MW,1,80004869,default,,,
P195323B-FFNAAE,KOA CORPORATION,JC49 RS953OHM,1%,250MW,1,80004869,default,,,
P195323B-FFNAAE,TTI,JC49 RS953OHM,1%,250MW,1,80004869,default,,,
P195333B-FDNCAD,KAMAYA INC.,RES,TF,9.53KOHMS,1%,100M,80004869,default,,
P195343B-FNMDAF,VIKING TECH CORPORATION,RES-TF 95.3K,1%,250.0MW,,80004924,default,,,
P195343B-FNNDAF,KOA CORPORATION,CD4 RES95.3KOHM,1%,250MW,80004924,default,,,,
P197623B-FDNCAD,KAMAYA INC.,RES-TF 976OHM,1%,100MW,,80004869,default,,,
P197623B-FENAAC,KAMAYA INC.,RES-TF 976OHM,1%,125MW,,80004869,default,,,
P197623B-FENAAC,KOA CORPORATION,RES-TF 976OHM,1%,125MW,,80004869,default,,,
P197653B-FDNCAD,KAMAYA INC.,RES 976KOHM,1%,100MW,80004869,default,,,,
P210040B-FJAAAD,TAIYO YUDEN,CAP,CERM,10PF,5%,50V,40,80034477,default,
P210040B-FJAAAD,TDK CORPORATION,CAP,CERM,10PF,5%,50V,40,80034477,default,
P210042B-FJAAAA,KEMET CORPORATION,CAP,CERM,10PF,2.50%,50V,0,80004891,default,
P210042B-FJAAAA,TDK CORPORATION,CAP,CERM,10PF,2.50%,50V,0,80004891,default,
P210042B-FJAAAD,CONVERGE,CAP-CERM 10PF,2.50%,50V,,80034477,default,,,
P210042B-FJAAAD,MOUSER ELECTRONICS,CAP-CERM 10PF,2.50%,50V,,80034477,default,,,
P210042B-FJAAAD,MURATA MANUFACTURING CO LTD,CAP-CERM 10PF,2.50%,50V,,80034477,default,,,
P210042B-FJAAAD,TAIYO YUDEN,CAP-CERM 10PF,2.50%,50V,,80034477,default,,,
P210066B-FJAAAA,MURATA MANUFACTURING CO LTD,CAP-CERM 10PF,5%,100V,CO,80004891,default,,,
P210136B-FJAAAC,ARCADIA COMPONENTS, LLC,CAP 100PF 5% 25VDC,80004846,default,,,,,
P210136B-FJAAAC,MOUSER ELECTRONICS,CAP 100PF 5% 25VDC,80004846,default,,,,,,
P210136B-FJAAAC,MURATA MANUFACTURING CO LTD,CAP 100PF 5% 25VDC,80004846,default,,,,,,
P210136B-FJAAAC,MURATA MANUFACTURING CO LTD,CAP 100PF 5% 25VDC,80004846,default,,,,,,
P210146B-FJAAAA,ARCADIA COMPONENTS, LLC,CAP CER COG 100PF 5% 060,80004846,default,,,,,
P210146B-FJAAAA,KEMET CORPORATION,CAP,CERM,100PF,5%,50V,6,80004891,default,
P210146B-FJAAAA,MURATA MANUFACTURING CO LTD,CAP CER COG 100PF 5% 060,80004891,default,,,,,,
P210146B-FJAFAA,KEMET CORPORATION,CAP-CERM 100PF,5%,50V,C,80004891,default,,,
P210146D-FKAA01,DIGI-KEY,100PF 50V 5% X7R AEC,80004891,default,,,,,,
P210146D-FKAA01,KEMET CORPORATION,100PF 50V 5% X7R AEC,80004891,default,,,,,,
P210146D-FKAA01,MOUSER ELECTRONICS,100PF 50V 5% X7R AEC,80004891,default,,,,,,
P210147B-FJAAAA,MURATA MANUFACTURING CO LTD,CAP,CERM,100PF,10%,50V,0,80004846,default,
P210147B-FJAAAD,TAIYO YUDEN,CAP,CERM,100PF,10%,50V,0,80034477,default,
P210147B-FJAAAD,VAL TECHNOLOGIES, INC,CAP CER COG 100PF 5% 040,80034477,default,,,,,
P210166B-FJAAAA,CONVERGE,CAP-CERM 100PF,5%,100V,,80004846,default,,,
P210166B-FJAAAA,DIGI-KEY,CAP-CERM 100PF,5%,100V,,80004846,default,,,
P210166B-FJAAAA,MURATA MANUFACTURING CO LTD,CAP-CERM 100PF,5%,100V,,80004846,default,,,
P210166B-FJAAAB,AGS DEVICES CO,CAP,CERM,100PF,5%,100V,0,80004891,default,
P210166B-FJAAAB,KEMET CORPORATION,CAP,CERM,100PF,5%,100V,0,80004891,default,
P210166B-FJAAAB,MURATA MANUFACTURING CO LTD,CAP,CERM,100PF,5%,100V,0,80004891,default,
P210166B-FJAAAB,TDK CORPORATION,CAP,CERM,100PF,5%,100V,0,80004891,default,
P210167B-FKAAAA,AVX KYOCERA,CAP CER X7R 100PF 10% 06,80004913,default,,,,,,
P210176B-FJAAAB,ARCADIA COMPONENTS, LLC,CAP,CERM,100PF,5%,200V,0,80004891,default
P210176B-FJAAAB,KAMAYA INC.,CAP,CERM,100PF,5%,200V,0,80004869,default,
P210176B-FJAAAB,KEMET CORPORATION,CAP,CERM,100PF,5%,200V,0,80004891,default,
P210177B-FJAAAB,KEMET CORPORATION,CAP-CERM 100PF,10%,200V,,80004891,default,,,
P210236B-FJAAAA,AGS DEVICES CO,CAP,CERM,1NF,5%,25V,603,80004891,default,
P210236B-FJAAAA,CHIP ONE EXCHANGE,CAP,CERM,1NF,5%,25V,603,80004891,default,
P210236B-FJAAAA,KAMAYA INC.,CAP,CERM,1NF,5%,25V,603,80004869,default,
P210236B-FJAAAA,KEMET CORPORATION,CAP,CERM,1NF,5%,25V,603,80004891,default,
